round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-2,Minion-2,Servant-4,Servant-3,Servant-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.4436350464820862,0.0,0.496163547039032,0.4664572477340698,0.5038363933563232,0.5042479038238525
3,0.3663890063762665,0.0,0.6336109042167664,0.2306983917951584,0.8409790992736816,0.1687156856060028
3,0.6343380212783813,0.0,0.3656619191169739,0.14738690853118896,0.7535789608955383,0.10474032163619995
4,0.010119791142642498,0.0,0.9881485104560852,0.011851457878947258,0.9916874170303345,0.008739680051803589
5,0.5256927609443665,0.0,0.7405679225921631,0.09453190118074417,0.20771442353725433,0.47430723905563354
5,0.12378348410129547,0.0,0.7405679225921631,0.04237160086631775,0.7233877182006836,0.2766123116016388
5,0.2618602514266968,0.0,0.4774499535560608,0.5101414918899536,0.7233877182006836,0.4898585081100464
5,0.10574745386838913,0.0,0.4774499535560608,0.5101414918899536,0.7233877182006836,0.4898585081100464
5,0.10574745386838913,0.0,0.4774499535560608,0.5101414918899536,0.7233877182006836,0.4898585081100464
