round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-2,Minion-2,Servant-4,Servant-3,Servant-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.4432287812232971,0.4945699870586395,1.0,0.46604761481285095,0.4995885193347931,0.5004115104675293
3,0.15902087092399597,0.06019897013902664,1.0,0.08930391073226929,0.8409790992736816,0.06223691627383232
3,0.15902087092399597,0.06019897013902664,1.0,0.08930391073226929,0.8409790992736816,0.06223691627383232
4,0.007094272878021002,0.010301158763468266,1.0,0.008312568068504333,0.9896988272666931,0.006124220788478851
5,0.12378348410129547,0.3073793649673462,1.0,0.11718424409627914,0.6926206350326538,0.040755581110715866
5,0.26977768540382385,0.11422468721866608,1.0,0.10371115803718567,0.4657328724861145,0.5342671275138855
5,0.10574745386838913,0.11018356680870056,1.0,0.5101414918899536,0.21815210580825806,0.4898585081100464
5,0.2976597547531128,0.3073793351650238,1.0,0.28480368852615356,0.692620575428009,0.2766122817993164
5,0.2976597547531128,0.3073793351650238,1.0,0.28480368852615356,0.692620575428009,0.2766122817993164
