round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-2,Minion-2,Servant-4,Servant-3,Servant-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.351645827293396,0.5947758555412292,0.5959150791168213,0.3729076683521271,0.0,0.4052242040634155
3,0.09545134007930756,0.491134911775589,0.15432427823543549,0.604882001876831,0.0,0.5088650584220886
3,0.17644920945167542,0.39511799812316895,0.6215529441833496,0.5963754057884216,0.0,0.40362459421157837
4,0.1862117201089859,0.7883666157722473,0.9652688503265381,0.21163345873355865,0.0,0.16481512784957886
5,0.26977768540382385,0.11422468721866608,0.8854082226753235,0.25768405199050903,0.0,0.7302222847938538
5,0.26977768540382385,0.11422468721866608,0.8854082226753235,0.10371115803718567,0.0,0.7302222847938538
5,0.26977768540382385,0.11422468721866608,0.8854082226753235,0.10371115803718567,0.0,0.7302222847938538
5,0.4884852170944214,0.5115147233009338,0.72032231092453,0.4729371964931488,0.0,0.46283647418022156
5,0.10964591056108475,0.11422468721866608,0.4875800907611847,0.5225500464439392,0.0,0.5124198794364929
