round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-1,Minion-2,Minion-1,Servant-2,Servant-4
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.45853888988494873,0.43787217140197754,0.6187593340873718,0.39960816502571106,0.0,0.5414611101150513
3,0.8235551714897156,0.09499156475067139,0.8186752200126648,0.17660988867282867,0.0,0.1813248097896576
3,0.7665207982063293,0.23947790265083313,0.7605221271514893,0.17660988867282867,0.0,0.1813248097896576
4,0.9563024640083313,0.04608536884188652,0.9539146423339844,0.02786829322576523,0.0,0.030594225972890854
5,0.8671855330467224,0.14001427590847015,0.8599857091903687,0.1248660758137703,0.0,0.04750014841556549
5,0.7612856030464172,0.2755489945411682,0.4378014802932739,0.5621984601020813,0.0,0.2589905261993408
5,0.7031328678131104,0.5211307406425476,0.40563178062438965,0.22608062624931335,0.0,0.4788692593574524
5,0.8766274452209473,0.7655200958251953,0.18532690405845642,0.08873426914215088,0.0,0.2344798892736435
5,0.6851815581321716,0.328151136636734,0.6718488931655884,0.29974281787872314,0.0,0.30978330969810486
