round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-2,Servant-1,Minion-1,Servant-3
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.6003620624542236,0.39963793754577637,0.3621571958065033,0.30447301268577576,0.30031225085258484
3,1.0,0.17022208869457245,0.06309014558792114,0.48136547207832336,0.16986896097660065,0.518634557723999
3,1.0,0.06400395929813385,0.16806407272815704,0.48136547207832336,0.06385421752929688,0.518634557723999
4,1.0,0.00804885569959879,0.007867774926126003,0.181314155459404,0.01331084780395031,0.8186858892440796
5,1.0,0.36586618423461914,0.3742380142211914,0.09942147880792618,0.19057482481002808,0.6257619857788086
5,1.0,0.3673626780509949,0.37574848532676697,0.5844873785972595,0.4155125319957733,0.2512103021144867
5,1.0,0.16129761934280396,0.1662154346704483,0.4983888566493988,0.07277040928602219,0.5016111731529236
5,1.0,0.16129761934280396,0.1662154346704483,0.4983888566493988,0.19057482481002808,0.5016111731529236
5,1.0,0.36586621403694153,0.3742380440235138,0.4983888566493988,0.41394826769828796,0.5016111731529236
