round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-2,Servant-1,Minion-1,Servant-3
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.36113739013671875,0.6083415150642395,0.0,0.3656656742095947,0.504930853843689,0.49506914615631104
3,0.49618762731552124,0.39870378375053406,0.0,0.5038123726844788,0.39810410141944885,0.7664610743522644
3,0.09863585978746414,0.39870375394821167,0.0,0.6012962460517883,0.18064503371715546,0.619032084941864
4,0.04450737684965134,0.03534292057156563,0.0,0.9425842761993408,0.05741576477885246,0.9611029624938965
5,0.18371014297008514,0.4495905041694641,0.0,0.6326373219490051,0.5504094362258911,0.32061538100242615
5,0.32431307435035706,0.7101858854293823,0.0,0.5844874978065491,0.4155125617980957,0.2512103021144867
5,0.18371014297008514,0.4495905041694641,0.0,0.6326373219490051,0.5504094362258911,0.13592486083507538
5,0.050630442798137665,0.3673626780509949,0.0,0.6326373219490051,0.1915709227323532,0.6341338157653809
5,0.137924924492836,0.3673626780509949,0.0,0.6326373219490051,0.1915709227323532,0.6341338157653809
