round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-2,Servant-1,Minion-1,Servant-3
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.27070412039756775,0.5003771781921387,0.49962282180786133,0.2745858132839203,1.0,0.30031225085258484
3,0.09220139682292938,0.17022208869457245,0.3773531913757324,0.48136547207832336,1.0,0.518634557723999
3,0.14165577292442322,0.5038389563560486,0.4961610734462738,0.33453530073165894,1.0,0.3513363301753998
4,0.010210847482085228,0.00804885569959879,0.007867774926126003,0.181314155459404,1.0,0.8186858892440796
5,0.050321564078330994,0.36586618423461914,0.3742380142211914,0.4983888566493988,1.0,0.5016111731529236
5,0.050321564078330994,0.36586618423461914,0.3742380142211914,0.4983888566493988,1.0,0.5016111731529236
5,0.050630442798137665,0.1621713638305664,0.16711050271987915,0.7487896680831909,1.0,0.2512103021144867
5,0.050321564078330994,0.36586618423461914,0.3742380142211914,0.4983888566493988,1.0,0.5016111731529236
5,0.050321564078330994,0.36586618423461914,0.1662154346704483,0.4983888566493988,1.0,0.5016111731529236
