round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Minion-1,Servant-1,Servant-4,Servant-2
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.3625057339668274,0.49165770411491394,0.5034120082855225,0.5037891864776611,0.49658799171447754
3,0.0,0.4699658751487732,0.530034065246582,0.23129284381866455,0.7561689615249634,0.22888384759426117
3,0.0,0.4699658453464508,0.5255810022354126,0.4744190275669098,0.9013693928718567,0.4710294306278229
4,0.0,0.7205471992492676,0.2794528007507324,0.23922105133533478,0.20085075497627258,0.8801937103271484
4,0.0,0.03777887299656868,0.12052719295024872,0.7896210551261902,0.21037888526916504,0.7907516360282898
5,0.0,0.7069931030273438,0.5535576939582825,0.44644227623939514,0.25295889377593994,0.19615820050239563
5,0.0,0.3934475779533386,0.5535576939582825,0.44644230604171753,0.5574389696121216,0.42265868186950684
5,0.0,0.393447607755661,0.5535576939582825,0.44644227623939514,0.5574390292167664,0.4226587116718292
5,0.0,0.6605551242828369,0.3394448757171631,0.12137884646654129,0.7529357075691223,0.1114267110824585
5,0.0,0.08203509449958801,0.29244133830070496,0.5241843461990356,0.5811722874641418,0.47581571340560913
