round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Minion-1,Servant-1,Servant-4,Servant-2
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.27100205421447754,1.0,0.39201799035072327,0.5996378660202026,0.40036213397979736,0.39672890305519104
3,0.034343402832746506,1.0,0.10811705142259598,0.2471405267715454,0.7528594732284546,0.09742819517850876
3,0.034343402832746506,1.0,0.03883841261267662,0.09863057732582092,0.9013693928718567,0.09742819517850876
4,0.03797761723399162,1.0,0.11980623751878738,0.2487236112356186,0.08105676621198654,0.7512763738632202
4,0.03797761723399162,1.0,0.11980623751878738,0.09938795119524002,0.20924831926822662,0.7907516360282898
5,0.44298845529556274,1.0,0.49607032537460327,0.44256100058555603,0.5039296746253967,0.41882768273353577
5,0.8774157166481018,1.0,0.12090357393026352,0.09984417259693146,0.1225842610001564,0.09147389233112335
5,0.7046562433242798,1.0,0.12090357393026352,0.09984417259693146,0.2953437566757202,0.09147389233112335
5,0.44298842549324036,1.0,0.24706429243087769,0.44256097078323364,0.5570115447044373,0.41882768273353577
5,0.44298842549324036,1.0,0.24706429243087769,0.44256097078323364,0.5570115447044373,0.1936914473772049
