round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Minion-1,Servant-1,Servant-4,Servant-2
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3579944670200348,0.3625057339668274,1.0,0.5996378660202026,0.40036213397979736,0.39672890305519104
3,0.034343402832746506,0.0970534235239029,1.0,0.09863057732582092,0.7553809881210327,0.24461901187896729
3,0.034343402832746506,0.0970534235239029,1.0,0.09863057732582092,0.7553809881210327,0.24461901187896729
4,0.10588996112346649,0.10473361611366272,1.0,0.09938795119524002,0.20924831926822662,0.7907516360282898
4,0.10588996112346649,0.10473361611366272,1.0,0.2487236112356186,0.20924831926822662,0.7512763738632202
5,0.12156374752521515,0.8517840504646301,1.0,0.12137884646654129,0.14821599423885345,0.1114267110824585
5,0.8774157166481018,0.08190472424030304,1.0,0.09984417259693146,0.1225842610001564,0.09147389233112335
5,0.7046562433242798,0.21112921833992004,1.0,0.24967527389526367,0.2953437566757202,0.23198121786117554
5,0.44298842549324036,0.06624916195869446,1.0,0.44256097078323364,0.5570115447044373,0.41882768273353577
5,0.44298842549324036,0.06624916195869446,1.0,0.44256097078323364,0.5570115447044373,0.1936914473772049
