round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-1,Minion-2,Servant-4,Servant-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3523624539375305,0.3513069748878479,1.0,0.3966399133205414,0.5089796185493469,0.49102044105529785
3,0.09914691001176834,0.5831523537635803,1.0,0.2785895764827728,0.4168476462364197,0.18373362720012665
3,0.0867576152086258,0.2234356850385666,1.0,0.618425726890564,0.3815743327140808,0.16268324851989746
3,0.09914691001176834,0.5831523537635803,1.0,0.114044189453125,0.4168476462364197,0.18373362720012665
3,0.4976213276386261,0.5023787021636963,1.0,0.114044189453125,0.19242337346076965,0.18373362720012665
4,0.09680907428264618,0.9031909108161926,1.0,0.009931828826665878,0.008785628713667393,0.007877465337514877
4,0.49100878834724426,0.5089911818504333,1.0,0.009931828826665878,0.008785628713667393,0.007877465337514877
5,0.2485518753528595,0.6434281468391418,1.0,0.1943037211894989,0.35657182335853577,0.05467700585722923
5,0.6416508555412292,0.2514537572860718,1.0,0.07494086027145386,0.35834917426109314,0.14883942902088165
5,0.09930571168661118,0.6434281468391418,1.0,0.07440616190433502,0.35657182335853577,0.34234562516212463
5,0.2485518753528595,0.6434281468391418,1.0,0.07440616190433502,0.35657182335853577,0.34234562516212463
