round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-1,Minion-2,Servant-4,Servant-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.4582764208316803,0.45712757110595703,0.48780807852745056,0.5176624655723572,0.0,0.512191891670227
3,0.14014357328414917,0.6020696759223938,0.4946364462375641,0.363818883895874,0.0,0.5053635239601135
3,0.14014357328414917,0.8194622993469238,0.2459987998008728,0.16010600328445435,0.0,0.7540011405944824
3,0.3283878266811371,0.7517797946929932,0.2459987998008728,0.16010600328445435,0.0,0.6716121435165405
3,0.5946269631385803,0.5969184041023254,0.1819496601819992,0.11500909924507141,0.0,0.4053730070590973
4,0.9697472453117371,0.9900681972503662,0.022088585421442986,0.03025275655090809,0.0,0.0240973848849535
4,0.9697472453117371,0.9900681972503662,0.022088583558797836,0.03025275468826294,0.0,0.0240973848849535
5,0.17478258907794952,0.8056963086128235,0.20313072204589844,0.3166033923625946,0.0,0.6833966374397278
5,0.5783329606056213,0.5802189111709595,0.286314994096756,0.42166703939437866,0.0,0.3440900146961212
5,0.655910074710846,0.657654345035553,0.11795274913311005,0.19551801681518555,0.0,0.34408998489379883
5,0.8511605858802795,0.8521382808685303,0.11795274913311005,0.07494086027145386,0.0,0.14883942902088165
