round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Minion-2,Servant-3,Servant-2,Servant-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.35389938950538635,0.49464696645736694,1.0,0.35017088055610657,0.4875022768974304,0.5053530335426331
3,0.10011836886405945,0.18713916838169098,1.0,0.809070348739624,0.18314281105995178,0.1909296214580536
3,0.585813045501709,0.1869393140077591,1.0,0.24975360929965973,0.06945282965898514,0.414186954498291
3,0.585813045501709,0.1869393140077591,1.0,0.24975360929965973,0.06945282965898514,0.414186954498291
3,0.5003286004066467,0.07118456065654755,1.0,0.4996713697910309,0.06945282965898514,0.414186954498291
3,0.10011836886405945,0.18713916838169098,1.0,0.5854941010475159,0.40213289856910706,0.41450589895248413
4,0.9592117071151733,0.017901821061968803,1.0,0.040788277983665466,0.03106646239757538,0.03201356530189514
4,0.9820981621742249,0.017901821061968803,1.0,0.013976135291159153,0.010574495419859886,0.010903904214501381
5,0.685171902179718,0.3144298493862152,1.0,0.314828097820282,0.2921240031719208,0.04405149817466736
5,0.7068471312522888,0.13260701298713684,1.0,0.13281960785388947,0.12092466652393341,0.2931528687477112
5,0.7068471312522888,0.13260701298713684,1.0,0.13281960785388947,0.2921240031719208,0.2931528687477112
5,0.7068471312522888,0.13260701298713684,1.0,0.13281960785388947,0.043842658400535583,0.2931528687477112
