round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Minion-2,Servant-3,Servant-2,Servant-1
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.4634462893009186,0.5169728994369507,0.49016889929771423,0.4593842029571533,0.5098310708999634,0.0
3,0.10011836886405945,0.18713916838169098,0.8232085704803467,0.8128608465194702,0.18314281105995178,0.0
3,0.8130606412887573,0.18713916838169098,0.1064341813325882,0.8128608465194702,0.18314281105995178,0.0
3,0.7369925379753113,0.18713916838169098,0.2632623016834259,0.7367376685142517,0.18314281105995178,0.0
3,0.5003286004066467,0.1869393140077591,0.5173758268356323,0.4996713697910309,0.4018169045448303,0.0
3,0.5981830954551697,0.07127152383327484,0.1064341813325882,0.5978670716285706,0.40213289856910706,0.0
4,0.8868643641471863,0.05184907838702202,0.9708279371261597,0.11313563585281372,0.031066464260220528,0.0
4,0.9592117071151733,0.012717076577246189,0.917308509349823,0.0826914981007576,0.06364481896162033,0.0
5,0.19501696527004242,0.7496535181999207,0.8849164247512817,0.25034651160240173,0.09088924527168274,0.0
5,0.19501696527004242,0.7496535181999207,0.8849164247512817,0.25034651160240173,0.09088924527168274,0.0
5,0.22059687972068787,0.7496535181999207,0.7193464040756226,0.28065356612205505,0.10458548367023468,0.0
5,0.22059687972068787,0.7496535181999207,0.7193464040756226,0.28065356612205505,0.10458548367023468,0.0
