round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.5003771781921387,0.49128061532974243,0.49962282180786133,0.49621081352233887,0.3621571362018585
3,1.0,0.06352468580007553,0.773311197757721,0.1693965643644333,0.16938357055187225,0.22668883204460144
3,1.0,0.169091135263443,0.6204338073730469,0.1693965643644333,0.37956616282463074,0.22668883204460144
3,1.0,0.169091135263443,0.6204338073730469,0.06365403532981873,0.37956616282463074,0.22668883204460144
4,1.0,0.1834089607000351,0.4791388213634491,0.18815192580223083,0.33545470237731934,0.5208612084388733
4,1.0,0.1834089607000351,0.4791388213634491,0.18815192580223083,0.1440281867980957,0.5208612084388733
4,1.0,0.4025605022907257,0.23467384278774261,0.07171254605054855,0.05310884118080139,0.5974395275115967
4,1.0,0.4025605022907257,0.23467384278774261,0.41012436151504517,0.05310884118080139,0.5898755788803101
4,1.0,0.0696529746055603,0.23467384278774261,0.41012436151504517,0.1440281867980957,0.5898755788803101
