round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.45546483993530273,1.0,0.49165770411491394,0.5034120082855225,0.49658799171447754,0.46032366156578064
3,0.08957826346158981,1.0,0.773311197757721,0.1693965643644333,0.16938357055187225,0.22668883204460144
3,0.08957826346158981,1.0,0.6204338073730469,0.1693965643644333,0.37956616282463074,0.22668883204460144
3,0.08957826346158981,1.0,0.6204338073730469,0.1693965643644333,0.37956616282463074,0.22668883204460144
4,0.5060968399047852,1.0,0.23032201826572418,0.40423744916915894,0.05189566686749458,0.49390318989753723
4,0.5060968399047852,1.0,0.09070095419883728,0.07010586559772491,0.05189566686749458,0.49390318989753723
4,0.5060968399047852,1.0,0.23032201826572418,0.40423744916915894,0.05189566686749458,0.49390318989753723
4,0.10221647471189499,1.0,0.4791388213634491,0.18815192580223083,0.05310884118080139,0.5208612084388733
4,0.5060968399047852,1.0,0.47305575013160706,0.4042374789714813,0.3300398886203766,0.49390318989753723
