round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.36113739013671875,0.6083415150642395,0.395275741815567,0.0,0.6047242879867554,0.3656656742095947
3,0.25129979848861694,0.40975481271743774,0.8306164145469666,0.0,0.41025790572166443,0.5897420644760132
3,0.32545968890190125,0.24961021542549133,0.7720957398414612,0.0,0.6745402812957764,0.32394227385520935
3,0.13854768872261047,0.09981294721364975,0.9104217290878296,0.0,0.8614522814750671,0.13772380352020264
4,0.2546006739139557,0.4025604724884033,0.47913888096809387,0.0,0.6221042275428772,0.5208611488342285
4,0.6032909154891968,0.4025605022907257,0.23467384278774261,0.0,0.1440281867980957,0.5974395275115967
4,0.3363915979862213,0.6636083722114563,0.3127492070198059,0.0,0.19981981813907623,0.8977835178375244
4,0.6032909154891968,0.4025605022907257,0.23467384278774261,0.0,0.05310884118080139,0.5974395275115967
4,0.27076777815818787,0.19624559581279755,0.6456844806671143,0.0,0.35431551933288574,0.8559718132019043
