round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.45546483993530273,0.5087193846702576,0.49165770411491394,0.5083423256874084,0.0,0.46032366156578064
3,0.25129979848861694,0.40975481271743774,0.8306034207344055,0.4102803170681,0.0,0.5897197127342224
3,0.25129979848861694,0.18791864812374115,0.8306034207344055,0.4102803170681,0.0,0.5897197127342224
3,0.5017300248146057,0.40808215737342834,0.9109845161437988,0.40860697627067566,0.0,0.4982699453830719
4,0.9092990756034851,0.0696529746055603,0.09273255616426468,0.07171254605054855,0.0,0.9072673916816711
4,0.1101369559764862,0.07526171952486038,0.798761248588562,0.2012387067079544,0.0,0.8118480443954468
4,0.2707677483558655,0.19624559581279755,0.5695359706878662,0.4304640591144562,0.0,0.5898755788803101
4,0.5269442796707153,0.4025604724884033,0.47913888096809387,0.41012439131736755,0.0,0.5208611488342285
4,0.32942813634872437,0.24416685104370117,0.8898630738258362,0.6705718040466309,0.0,0.3240632116794586
