round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.3579944968223572,0.5037891864776611,0.49165770411491394,0.5034120082855225,0.49658799171447754,0.0
3,0.3254393935203552,0.49945688247680664,0.8306164145469666,0.5000231266021729,0.49997687339782715,0.0
3,0.13854768872261047,0.24961021542549133,0.8309088349342346,0.10000832378864288,0.750389814376831,0.0
3,0.13854768872261047,0.09981294721364975,0.9104217290878296,0.10000832378864288,0.8614522814750671,0.0
4,0.6699601411819458,0.5717043876647949,0.3127492070198059,0.10285768657922745,0.4282955825328827,0.0
4,0.5957625508308411,0.19624559581279755,0.5695359706878662,0.4304640591144562,0.15463051199913025,0.0
4,0.8155451416969299,0.4227938950061798,0.5695359706878662,0.4304640591144562,0.15463049709796906,0.0
4,0.4035710394382477,0.3079322874546051,0.7292322516441345,0.3146546185016632,0.5964289903640747,0.0
4,0.32942813634872437,0.49216151237487793,0.8037543296813965,0.5078384876251221,0.42063552141189575,0.0
