round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-4,Servant-1,Minion-2,Servant-3,Minion-1
1,0.5,0.5,0.5,0.5,0.5,1.0
2,0.27501341700553894,0.4956900477409363,0.2573896050453186,0.30788740515708923,0.5043099522590637,1.0
3,0.5189443230628967,0.07016529142856598,0.48105570673942566,0.26928049325942993,0.40574517846107483,1.0
3,0.47493699193000793,0.0638948455452919,0.2184431552886963,0.5250630378723145,0.38179904222488403,1.0
4,0.03477509319782257,0.024203499779105186,0.05397328734397888,0.5380818247795105,0.4619182050228119,1.0
5,0.3958747088909149,0.2750658392906189,0.1376752108335495,0.6041252613067627,0.21104013919830322,1.0
5,0.6332968473434448,0.36670318245887756,0.07511403411626816,0.33717066049575806,0.28987669944763184,1.0
5,0.5777243375778198,0.1617860347032547,0.42227569222450256,0.1449785679578781,0.28987669944763184,1.0
5,0.44951531291007996,0.32103583216667175,0.3737722337245941,0.12162086367607117,0.5504846572875977,1.0
5,0.44951531291007996,0.32103583216667175,0.3737722337245941,0.12162086367607117,0.5504846572875977,1.0
