round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.3791705071926117,1.0,0.4129198491573334,0.41710537672042847,0.35816946625709534,0.5828946828842163
2,0.27846410870552063,1.0,0.5958552956581116,0.4041447043418884,0.26069870591163635,0.3872177302837372
3,0.2508155107498169,1.0,0.7491844892501831,0.13003452122211456,0.09799720346927643,0.09951410442590714
3,0.0358642153441906,1.0,0.5013526082038879,0.04745905101299286,0.034949008375406265,0.4986473619937897
3,0.0358642153441906,1.0,0.9004858732223511,0.04745905101299286,0.034949008375406265,0.09951410442590714
4,0.20467650890350342,1.0,0.33704879879951477,0.5648374557495117,0.4351625144481659,0.36529457569122314
4,0.6029489636421204,1.0,0.39705103635787964,0.30155450105667114,0.24960412085056305,0.19903074204921722
4,0.12971583008766174,1.0,0.22747409343719482,0.16181734204292297,0.12947753071784973,0.7725258469581604
