round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.3791704773902893,0.6002197861671448,0.0,0.41710537672042847,0.3581694960594177,0.5828946828842163
2,0.27501341700553894,0.5179206728935242,0.0,0.517691969871521,0.2573896050453186,0.4823080003261566
3,0.1008814126253128,0.8844171762466431,0.0,0.13064782321453094,0.09847652912139893,0.8693521618843079
3,0.03605177253484726,0.8844171762466431,0.0,0.13064782321453094,0.03513195738196373,0.8693521618843079
3,0.42745891213417053,0.9111021757125854,0.0,0.5725410580635071,0.4209133982658386,0.42507311701774597
4,0.04733172431588173,0.8777827620506287,0.0,0.16181734204292297,0.04723655804991722,0.8381826281547546
4,0.3089865744113922,0.7561511397361755,0.0,0.060461606830358505,0.04723655804991722,0.6910133957862854
4,0.04733172431588173,0.9556471109390259,0.0,0.060461606830358505,0.04723655804991722,0.9395384192466736
