round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-2,Servant-1,Minion-2,Servant-3,Minion-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.4954611361026764,0.3418566882610321,0.5002289414405823,0.4997710585594177,0.5828946828842163
3,0.0,0.40897151827812195,0.5910284519195557,0.8270906209945679,0.4025523066520691,0.38534924387931824
3,0.0,0.5066553950309753,0.1383567452430725,0.6208499670028687,0.49334463477134705,0.23195631802082062
4,0.0,0.6240625977516174,0.29382407665252686,0.9080418348312378,0.37593743205070496,0.3340147137641907
5,0.0,0.09811579436063766,0.5349100828170776,0.692713737487793,0.46508991718292236,0.4508454203605652
5,0.0,0.24606221914291382,0.5349100828170776,0.692713737487793,0.46508991718292236,0.21486128866672516
5,0.0,0.284454882144928,0.28877174854278564,0.8546543121337891,0.26091375946998596,0.7112282514572144
5,0.0,0.24606221914291382,0.5349100828170776,0.692713737487793,0.46508991718292236,0.08359459042549133
5,0.0,0.11120710521936417,0.11331112682819366,0.8774861693382263,0.7606051564216614,0.2393948882818222
