round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-2,Servant-1,Minion-2,Servant-3,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.3624413013458252,0.0,0.3418566882610321,0.6002197861671448,0.3997802734375,0.6770248413085938
3,0.5082663893699646,0.0,0.491733580827713,0.7679778337478638,0.3946254551410675,0.3775470554828644
3,0.23796676099300385,0.0,0.4754408895969391,0.5245591402053833,0.6690232157707214,0.3623405992984772
4,0.9280059933662415,0.0,0.07199399918317795,0.9346253871917725,0.03608894720673561,0.030228743329644203
5,0.17464295029640198,0.0,0.5349100828170776,0.692713737487793,0.46508991718292236,0.4508454203605652
5,0.6556915044784546,0.0,0.3443085253238678,0.6621677279472351,0.31345412135124207,0.30123835802078247
5,0.6556915044784546,0.0,0.3443085253238678,0.6621677279472351,0.31345412135124207,0.30123835802078247
5,0.6556915044784546,0.0,0.3443085253238678,0.6621677279472351,0.31345412135124207,0.30123835802078247
5,0.6865459084510803,0.0,0.5349100828170776,0.17883577942848206,0.46508991718292236,0.08359459042549133
