round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-2,Servant-1,Minion-2,Servant-3,Minion-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.46025440096855164,0.3956505358219147,0.3418566882610321,0.5397456288337708,0.0,0.6208294630050659
3,0.5082663893699646,0.18244050443172455,0.491733580827713,0.7679778337478638,0.0,0.3775470554828644
3,0.5989969372749329,0.4010030925273895,0.09706293791532516,0.6145631074905396,0.0,0.063138946890831
4,0.8428478837013245,0.15715213119983673,0.07199399173259735,0.8560827374458313,0.0,0.08551614731550217
5,0.6556915044784546,0.1463053673505783,0.3443085253238678,0.6621677875518799,0.0,0.30123841762542725
5,0.7445579171180725,0.599775493144989,0.2539795935153961,0.4002245366573334,0.0,0.21844442188739777
5,0.6604421734809875,0.494721919298172,0.5052780508995056,0.3951672613620758,0.0,0.21486128866672516
5,0.6556915044784546,0.33955782651901245,0.3443085253238678,0.6621677875518799,0.0,0.12564566731452942
5,0.8973764181137085,0.09811579436063766,0.8211642503738403,0.17883577942848206,0.0,0.08359459042549133
