round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-2,Minion-1,Minion-2,Servant-3,Servant-4
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.3718024492263794,0.40368860960006714,0.3113236725330353,1.0,0.5963113903999329,0.39886558055877686
3,0.09148073941469193,0.06322477757930756,0.38366878032684326,1.0,0.06383362412452698,0.6163312792778015
3,0.4754040837287903,0.1683824360370636,0.17184363305568695,1.0,0.38029682636260986,0.5245959162712097
3,0.4754040837287903,0.3778879642486572,0.06469254195690155,1.0,0.38029682636260986,0.5245959162712097
3,0.4754040837287903,0.37788793444633484,0.38366878032684326,1.0,0.38029682636260986,0.5245959162712097
4,0.8005159497261047,0.011460376903414726,0.007544328924268484,1.0,0.0077767944894731045,0.19948402047157288
5,0.8423611521720886,0.157638818025589,0.10793162882328033,1.0,0.052522942423820496,0.08379607647657394
5,0.6404436230659485,0.3595563769340515,0.10793162882328033,1.0,0.052522942423820496,0.21530482172966003
5,0.6404436230659485,0.3595563769340515,0.03876664116978645,1.0,0.052522942423820496,0.08379607647657394
5,0.6404436230659485,0.3595563769340515,0.03876664116978645,1.0,0.052522942423820496,0.08379607647657394
5,0.6404436230659485,0.3595563769340515,0.10793162882328033,1.0,0.33284884691238403,0.21530482172966003
