round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-2,Minion-1,Minion-2,Servant-3,Servant-4
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.3729076683521271,0.4048275351524353,0.6003950238227844,0.351645827293396,0.0,0.5951725244522095
3,0.1392320841550827,0.09781495481729507,0.6902574300765991,0.3097425699234009,0.0,0.7816534638404846
3,0.26495736837387085,0.19459590315818787,0.19846731424331665,0.7350426316261292,0.0,0.7680041193962097
3,0.5195531845092773,0.40129807591438293,0.18631204962730408,0.48044681549072266,0.0,0.5440643429756165
3,0.5987019538879395,0.40129807591438293,0.18631204962730408,0.09317439794540405,0.0,0.6221120953559875
4,0.9663892388343811,0.04445473104715347,0.029602013528347015,0.03958999738097191,0.0,0.9555452466011047
5,0.3211347162723541,0.4434332251548767,0.05413562059402466,0.5565667748451233,0.0,0.5945149660110474
5,0.8097925782203674,0.18523503839969635,0.30601751804351807,0.46122249960899353,0.0,0.5387774705886841
5,0.6404436230659485,0.40548503398895264,0.046706974506378174,0.08685564249753952,0.0,0.5945149660110474
5,0.8097925782203674,0.7050312161445618,0.17729908227920532,0.29496878385543823,0.0,0.14008758962154388
5,0.5866297483444214,0.40548503398895264,0.046706974506378174,0.4612225294113159,0.0,0.5387774705886841
