round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Servant-1,Minion-1,Servant-3
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.459948867559433,0.45509061217308044,0.49128061532974243,0.49962282180786133,1.0,0.5003771781921387
3,0.0970534235239029,0.09640823304653168,0.10811705142259598,0.49617278575897217,1.0,0.5038272142410278
4,0.04223504662513733,0.11966539174318314,0.050302766263484955,0.5325294733047485,1.0,0.4674704968929291
4,0.11683598905801773,0.11966539174318314,0.050302766263484955,0.5325294733047485,1.0,0.4674704968929291
5,0.37426337599754333,0.2092139571905136,0.15513582527637482,0.6257365942001343,1.0,0.15695559978485107
5,0.37426337599754333,0.08104129880666733,0.05767713859677315,0.6257365942001343,1.0,0.15695559978485107
5,0.37426337599754333,0.2092139571905136,0.15513582527637482,0.6257365942001343,1.0,0.15695559978485107
5,0.37426337599754333,0.2092139571905136,0.3551992177963257,0.6257365942001343,1.0,0.3583703339099884
5,0.3742634356021881,0.44249120354652405,0.35519924759864807,0.5575087666511536,1.0,0.3583703637123108
