round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-1,Minion-2,Servant-3,Servant-4,Minion-1
1,0.5,0.5,0.5,0.5,0.5,1.0
2,0.35954761505126953,0.5,0.4996994137763977,0.5,0.3997114300727844,1.0
3,0.08542264997959137,0.16425614058971405,0.09575597941875458,0.0592527873814106,0.8357439041137695,1.0
3,0.45670217275619507,0.06148489564657211,0.24109530448913574,0.3617822527885437,0.5432978272438049,1.0
3,0.597247838973999,0.18949897587299347,0.2742714583873749,0.4027521312236786,0.2839430272579193,1.0
3,0.08542264997959137,0.16425614058971405,0.24109530448913574,0.3617822527885437,0.6382176876068115,1.0
4,0.582312822341919,0.023266367614269257,0.030304845422506332,0.41768720746040344,0.030919741839170456,1.0
5,0.2770307660102844,0.161416158080101,0.12280265986919403,0.5455172061920166,0.4544827938079834,1.0
5,0.5347872376441956,0.33436888456344604,0.1085607185959816,0.46521273255348206,0.4202009439468384,1.0
5,0.2770307660102844,0.3660694360733032,0.12280265986919403,0.5455172061920166,0.4544827938079834,1.0
5,0.2770307660102844,0.3660694360733032,0.12280265986919403,0.5455172061920166,0.4544827938079834,1.0
5,0.5347872376441956,0.33436891436576843,0.267583966255188,0.46521276235580444,0.4202009439468384,1.0
